timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708840804883,22,,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-13,,true,,1941,1482,1,1,null,22,1,0
1708840804969,53,-1,200,,Thread Group 1-14,text,true,,3266,715,1,1,http://103.94.135.204:8080/mod2/,12,0,4
1708840804969,12,-1-0,302,,Thread Group 1-14,,true,,153,357,1,1,http://103.94.135.204:8080/mod2,12,0,4
1708840804981,41,-1-1,200,,Thread Group 1-14,text,true,,3113,358,1,1,http://103.94.135.204:8080/mod2/,41,0,0
1708840805023,13,-2,200,,Thread Group 1-14,text,true,,3034,411,1,1,http://103.94.135.204:8080/mod2/,13,0,0
1708840805036,20,-3,200,,Thread Group 1-14,text,true,,7629,470,1,1,http://103.94.135.204:8080/mod2/application.html,20,0,0
1708840804969,86,,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-14,,true,,13929,1596,1,1,null,45,1,4
1708840805056,30,-7,200,,Thread Group 1-14,text,true,,20651,632,1,1,http://103.94.135.204:8080/mod2/transaction.html,25,0,0
1708840805056,30,,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-14,,true,,20651,632,1,1,null,25,0,0
1708840805086,32,-8,200,,Thread Group 1-14,text,true,,1941,1520,1,1,http://103.94.135.204:8080/mod2/applicationsubmission.html,32,0,0
1708840805086,32,,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-14,,true,,1941,1520,1,1,null,32,0,0
1708840805169,29,-1,200,,Thread Group 1-15,text,true,,3266,715,1,1,http://103.94.135.204:8080/mod2/,18,0,10
1708840805169,18,-1-0,302,,Thread Group 1-15,,true,,153,357,1,1,http://103.94.135.204:8080/mod2,18,0,10
1708840805187,11,-1-1,200,,Thread Group 1-15,text,true,,3113,358,1,1,http://103.94.135.204:8080/mod2/,11,0,0
1708840805199,13,-2,200,,Thread Group 1-15,text,true,,3034,411,1,1,http://103.94.135.204:8080/mod2/,13,0,0
1708840805213,13,-3,200,,Thread Group 1-15,text,true,,7629,470,1,1,http://103.94.135.204:8080/mod2/application.html,13,0,0
1708840805169,55,,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-15,,true,,13929,1596,1,1,null,44,2,10
1708840805227,26,-7,200,,Thread Group 1-15,text,true,,20651,632,1,1,http://103.94.135.204:8080/mod2/transaction.html,15,0,0
1708840805226,26,,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-15,,true,,20651,632,1,1,null,15,1,0
1708840805253,32,-8,200,,Thread Group 1-15,text,true,,1941,1532,1,1,http://103.94.135.204:8080/mod2/applicationsubmission.html,32,0,0
1708840805253,32,,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-15,,true,,1941,1532,1,1,null,32,0,0
1708840805372,22,-1,200,,Thread Group 1-16,text,true,,3266,715,1,1,http://103.94.135.204:8080/mod2/,17,0,10
1708840805372,17,-1-0,302,,Thread Group 1-16,,true,,153,357,1,1,http://103.94.135.204:8080/mod2,17,0,10
1708840805389,5,-1-1,200,,Thread Group 1-16,text,true,,3113,358,1,1,http://103.94.135.204:8080/mod2/,5,0,0
1708840805394,12,-2,200,,Thread Group 1-16,text,true,,3034,411,1,1,http://103.94.135.204:8080/mod2/,12,0,0
1708840805406,11,-3,200,,Thread Group 1-16,text,true,,7629,470,1,1,http://103.94.135.204:8080/mod2/application.html,11,0,0
1708840805371,45,,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-16,,true,,13929,1596,1,1,null,40,1,10
1708840805417,18,-7,200,,Thread Group 1-16,text,true,,20651,632,1,1,http://103.94.135.204:8080/mod2/transaction.html,11,0,0
1708840805417,18,,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-16,,true,,20651,632,1,1,null,11,0,0
1708840805435,21,-8,200,,Thread Group 1-16,text,true,,1941,1471,1,1,http://103.94.135.204:8080/mod2/applicationsubmission.html,21,0,0
1708840805435,21,,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-16,,true,,1941,1471,1,1,null,21,0,0
1708840805569,14,-1,200,,Thread Group 1-17,text,true,,3266,715,1,1,http://103.94.135.204:8080/mod2/,9,0,6
1708840805569,9,-1-0,302,,Thread Group 1-17,,true,,153,357,1,1,http://103.94.135.204:8080/mod2,9,0,6
1708840805579,4,-1-1,200,,Thread Group 1-17,text,true,,3113,358,1,1,http://103.94.135.204:8080/mod2/,4,0,0
1708840805584,6,-2,200,,Thread Group 1-17,text,true,,3034,411,1,1,http://103.94.135.204:8080/mod2/,6,0,0
1708840805590,17,-3,200,,Thread Group 1-17,text,true,,7629,470,1,1,http://103.94.135.204:8080/mod2/application.html,17,0,0
1708840805569,37,,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-17,,true,,13929,1596,1,1,null,32,1,6
1708840805607,21,-7,200,,Thread Group 1-17,text,true,,20651,632,1,1,http://103.94.135.204:8080/mod2/transaction.html,15,0,0
1708840805607,21,,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-17,,true,,20651,632,1,1,null,15,1,0
1708840805629,32,-8,200,,Thread Group 1-17,text,true,,1941,1476,1,1,http://103.94.135.204:8080/mod2/applicationsubmission.html,32,0,0
1708840805629,32,,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-17,,true,,1941,1476,1,1,null,32,0,0
1708840805783,17,-1,200,,Thread Group 1-18,text,true,,3266,715,1,1,http://103.94.135.204:8080/mod2/,11,0,7
1708840805783,11,-1-0,302,,Thread Group 1-18,,true,,153,357,1,1,http://103.94.135.204:8080/mod2,11,0,7
1708840805794,6,-1-1,200,,Thread Group 1-18,text,true,,3113,358,1,1,http://103.94.135.204:8080/mod2/,6,0,0
1708840805800,6,-2,200,,Thread Group 1-18,text,true,,3034,411,1,1,http://103.94.135.204:8080/mod2/,6,0,0
1708840805807,8,-3,200,,Thread Group 1-18,text,true,,7629,470,1,1,http://103.94.135.204:8080/mod2/application.html,8,0,0
1708840805782,31,,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-18,,true,,13929,1596,1,1,null,25,2,7
1708840805815,14,-7,200,,Thread Group 1-18,text,true,,20651,632,1,1,http://103.94.135.204:8080/mod2/transaction.html,13,0,0
1708840805815,14,,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-18,,true,,20651,632,1,1,null,13,0,0
1708840805829,117,-8,200,,Thread Group 1-18,text,true,,1941,1474,1,1,http://103.94.135.204:8080/mod2/applicationsubmission.html,117,0,0
1708840805829,117,,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-18,,true,,1941,1474,1,1,null,117,0,0
1708840805984,43,-1,200,,Thread Group 1-19,text,true,,3266,715,1,1,http://103.94.135.204:8080/mod2/,31,0,9
1708840805984,31,-1-0,302,,Thread Group 1-19,,true,,153,357,1,1,http://103.94.135.204:8080/mod2,31,0,9
1708840806015,12,-1-1,200,,Thread Group 1-19,text,true,,3113,358,1,1,http://103.94.135.204:8080/mod2/,12,0,0
